Datetime,Time,MWh
2007-08-01,00:00:00,-1261.236
2007-09-01,00:00:00,416.209
2007-10-01,00:00:00,435.835
2007-11-01,00:00:00,457.682
2007-12-01,00:00:00,500.86
2008-01-01,00:00:00,530.129
2008-02-01,00:00:00,517.784
2008-03-01,00:00:00,613.706
2008-04-01,00:00:00,474.206
2008-05-01,00:00:00,413.631
2008-06-01,00:00:00,395.606
2008-07-01,00:00:00,540.471
2008-08-01,00:00:00,428.246
2008-09-01,00:00:00,376.985
2008-10-01,00:00:00,420.548
2008-11-01,00:00:00,458.854
2008-12-01,00:00:00,469.469
2009-01-01,00:00:00,483.772
2009-02-01,00:00:00,602.807
2009-03-01,00:00:00,556.697
2009-04-01,00:00:00,521.144
2009-05-01,00:00:00,450.033
2009-06-01,00:00:00,378.633
2009-07-01,00:00:00,353.124
2009-08-01,00:00:00,338.961
2009-09-01,00:00:00,372.233
2009-10-01,00:00:00,395.72
2009-11-01,00:00:00,449.681
2009-12-01,00:00:00,531.372
2010-01-01,00:00:00,553.033
2010-02-01,00:00:00,523.849
2010-03-01,00:00:00,526.777
2010-04-01,00:00:00,469.792
2010-05-01,00:00:00,409.09
2010-06-01,00:00:00,384.835
2010-07-01,00:00:00,351.255
2010-08-01,00:00:00,335.196
2010-09-01,00:00:00,381.667
2010-10-01,00:00:00,361.293
2010-11-01,00:00:00,430.817
2010-12-01,00:00:00,519.881
2011-01-01,00:00:00,495.524
2011-02-01,00:00:00,575.36
2011-03-01,00:00:00,482.844
2011-04-01,00:00:00,461.118
2011-05-01,00:00:00,418.952
2011-06-01,00:00:00,409.624
2011-07-01,00:00:00,403.609
2011-08-01,00:00:00,353.634
2011-09-01,00:00:00,357.255
2011-10-01,00:00:00,407.096
2011-11-01,00:00:00,410.943
2011-12-01,00:00:00,504.475
2012-01-01,00:00:00,479.585
2012-02-01,00:00:00,534.043
2012-03-01,00:00:00,567.453
2012-04-01,00:00:00,481.152
2012-05-01,00:00:00,409.265
2012-06-01,00:00:00,368.645
2012-07-01,00:00:00,366.196
2012-08-01,00:00:00,368.441
2012-09-01,00:00:00,404.71
2012-10-01,00:00:00,383.311
2012-11-01,00:00:00,478.395
2012-12-01,00:00:00,529.904
2013-01-01,00:00:00,533.227
2013-02-01,00:00:00,483.984
2013-03-01,00:00:00,520.185
2013-04-01,00:00:00,446.203
2013-05-01,00:00:00,450.299
2013-06-01,00:00:00,388.571
2013-07-01,00:00:00,349.141
2013-08-01,00:00:00,344.669
2013-09-01,00:00:00,349.149
2013-10-01,00:00:00,392.795
2013-11-01,00:00:00,398.794
2013-12-01,00:00:00,467.275
2014-01-01,00:00:00,514.363
2014-02-01,00:00:00,610.492
2014-03-01,00:00:00,503.208
2014-04-01,00:00:00,468.928
2014-05-01,00:00:00,419.256
2014-06-01,00:00:00,343.373
2014-07-01,00:00:00,364.083
2014-08-01,00:00:00,343.189
2014-09-01,00:00:00,376.058
2014-10-01,00:00:00,421.887
2014-11-01,00:00:00,437.061
2014-12-01,00:00:00,435.527
2015-01-01,00:00:00,446.478
2015-02-01,00:00:00,992.838
2015-03-01,00:00:00,111.918
2015-04-01,00:00:00,436.64
2015-05-01,00:00:00,372.74
2015-06-01,00:00:00,385.18
2015-07-01,00:00:00,334.498
2015-08-01,00:00:00,421.852
2015-09-01,00:00:00,372.558
2015-10-01,00:00:00,385.22
2015-11-01,00:00:00,439.096
2015-12-01,00:00:00,472.237
2016-01-01,00:00:00,497.14
2016-02-01,00:00:00,527.246
2016-03-01,00:00:00,493.46
2016-04-01,00:00:00,516.836
2016-05-01,00:00:00,390.512
2016-06-01,00:00:00,322.3
2016-07-01,00:00:00,308.288
2016-08-01,00:00:00,313.064
2016-09-01,00:00:00,332.938
2016-10-01,00:00:00,350.728
2016-11-01,00:00:00,784.878
2016-12-01,00:00:00,426.586
2017-01-01,00:00:00,547.614
2017-02-01,00:00:00,536.436
2017-03-01,00:00:00,473.658
2017-04-01,00:00:00,446.074
2017-05-01,00:00:00,211.933
2017-06-01,00:00:00,385.316
2017-07-01,00:00:00,321.379
2017-08-01,00:00:00,348.079
2017-09-01,00:00:00,363.512
2017-10-01,00:00:00,386.171
2017-11-01,00:00:00,369.575
2017-12-01,00:00:00,405.667
2018-01-01,00:00:00,445.341
2018-02-01,00:00:00,462.881
2018-03-01,00:00:00,406.41368
2018-04-01,00:00:00,448.84479000000005
2018-05-01,00:00:00,401.91177999999996
2018-06-01,00:00:00,335.38435999999996
2018-07-01,00:00:00,292.80644
2018-08-01,00:00:00,303.38633000000004
2018-09-01,00:00:00,304.9599
2018-10-01,00:00:00,353.07297000000005
2018-11-01,00:00:00,351.45916
2018-12-01,00:00:00,376.31244
2019-01-01,00:00:00,442.22393000000005
2019-02-01,00:00:00,527.15247
2019-03-01,00:00:00,411.85073
2019-04-01,00:00:00,469.12417
2019-05-01,00:00:00,390.25059
2019-06-01,00:00:00,392.59975
2019-07-01,00:00:00,334.57714
2019-08-01,00:00:00,300.69214
2019-09-01,00:00:00,326.76679
2019-10-01,00:00:00,736.70785
2019-11-01,00:00:00,453.86077
2019-12-01,00:00:00,442.83161
2020-01-01,00:00:00,442.81343
2020-02-01,00:00:00,510.25599000000005
2020-03-01,00:00:00,411.82568
2020-04-01,00:00:00,354.47632
2020-05-01,00:00:00,221.12239
2020-06-01,00:00:00,236.031
2020-07-01,00:00:00,248.798
2020-08-01,00:00:00,270.581
2020-09-01,00:00:00,279.456
2020-10-01,00:00:00,261.469
2020-11-01,00:00:00,282.828
2020-12-01,00:00:00,591.12
2021-01-01,00:00:00,79.693
2021-02-01,00:00:00,439.08
2021-03-01,00:00:00,420.683
2021-04-01,00:00:00,452.864
2021-05-01,00:00:00,341.151
2021-06-01,00:00:00,292.84
2021-07-01,00:00:00,270.782
2021-08-01,00:00:00,264.149
2021-09-01,00:00:00,285.729
2021-10-01,00:00:00,282.709
2021-11-01,00:00:00,296.624
2021-12-01,00:00:00,346.173
2022-01-01,00:00:00,419.065
2022-02-01,00:00:00,502.882
2022-03-01,00:00:00,439.658
2022-04-01,00:00:00,460.417
2022-05-01,00:00:00,372.993
2022-06-01,00:00:00,295.365
2022-07-01,00:00:00,259.845
2022-08-01,00:00:00,272.416
2022-09-01,00:00:00,265.046
