Datetime,Time,MWh
2006-11-01,00:00:00,2093.582
2006-12-01,00:00:00,2138.173
2007-01-01,00:00:00,2528.929
2007-02-01,00:00:00,2514.262
2007-03-01,00:00:00,2448.021
2007-04-01,00:00:00,2376.619
2007-05-01,00:00:00,2306.451
2007-06-01,00:00:00,2029.56
2007-07-01,00:00:00,2010.079
2007-08-01,00:00:00,2155.725
2007-09-01,00:00:00,2135.724
2007-10-01,00:00:00,2109.009
2007-11-01,00:00:00,2213.79
2007-12-01,00:00:00,2233.108
2008-01-01,00:00:00,2824.502
2008-02-01,00:00:00,2915.928
2008-03-01,00:00:00,2734.836
2008-04-01,00:00:00,2616.871
2008-05-01,00:00:00,2405.905
2008-06-01,00:00:00,2246.708
2008-07-01,00:00:00,2383.625
2008-08-01,00:00:00,2547.25
2008-09-01,00:00:00,2410.716
2008-10-01,00:00:00,2517.595
2008-11-01,00:00:00,2785.593
2008-12-01,00:00:00,2809.924
2009-01-01,00:00:00,3206.044
2009-02-01,00:00:00,3405.763
2009-03-01,00:00:00,3404.684
2009-04-01,00:00:00,3284.496
2009-05-01,00:00:00,2877.378
2009-06-01,00:00:00,2737.591
2009-07-01,00:00:00,2610.694
2009-08-01,00:00:00,2668.419
2009-09-01,00:00:00,2632.659
2009-10-01,00:00:00,2699.263
2009-11-01,00:00:00,3247.369
2009-12-01,00:00:00,3376.328
2010-01-01,00:00:00,3862.646
2010-02-01,00:00:00,3650.281
2010-03-01,00:00:00,3815.762
2010-04-01,00:00:00,3497.512
2010-05-01,00:00:00,2982.19
2010-06-01,00:00:00,2989.02
2010-07-01,00:00:00,2778.797
2010-08-01,00:00:00,2867.636
2010-09-01,00:00:00,2944.49
2010-10-01,00:00:00,2984.421
2010-11-01,00:00:00,3090.591
2010-12-01,00:00:00,3304.6
2011-01-01,00:00:00,4109.272
2011-02-01,00:00:00,3969.596
2011-03-01,00:00:00,3730.013
2011-04-01,00:00:00,3243.997
2011-05-01,00:00:00,3214.42
2011-06-01,00:00:00,3194.181
2011-07-01,00:00:00,2952.734
2011-08-01,00:00:00,3040.233
2011-09-01,00:00:00,3100.397
2011-10-01,00:00:00,3172.836
2011-11-01,00:00:00,3256.016
2011-12-01,00:00:00,3593.092
2012-01-01,00:00:00,4283.464
2012-02-01,00:00:00,4390.762
2012-03-01,00:00:00,4632.065
2012-04-01,00:00:00,4207.062
2012-05-01,00:00:00,3720.031
2012-06-01,00:00:00,3419.202
2012-07-01,00:00:00,3476.75
2012-08-01,00:00:00,3472.697
2012-09-01,00:00:00,3606.525
2012-10-01,00:00:00,3612.904
2012-11-01,00:00:00,3811.588
2012-12-01,00:00:00,4073.536
2013-01-01,00:00:00,4382.62
2013-02-01,00:00:00,4460.06
2013-03-01,00:00:00,4247.807
2013-04-01,00:00:00,4145.141
2013-05-01,00:00:00,3290.076
2013-06-01,00:00:00,3637.585
2013-07-01,00:00:00,3561.105
2013-08-01,00:00:00,3620.309
2013-09-01,00:00:00,3480.209
2013-10-01,00:00:00,3767.161
2013-11-01,00:00:00,3985.234
2013-12-01,00:00:00,4142.484
2014-01-01,00:00:00,4976.383
2014-02-01,00:00:00,5368.828
2014-03-01,00:00:00,4368.981
2014-04-01,00:00:00,3962.414
2014-05-01,00:00:00,3947.743
2014-06-01,00:00:00,3589.172
2014-07-01,00:00:00,3422.058
2014-08-01,00:00:00,3528.334
2014-09-01,00:00:00,3548.218
2014-10-01,00:00:00,3617.757
2014-11-01,00:00:00,4065.099
2014-12-01,00:00:00,3921.889
2015-01-01,00:00:00,4662.609
2015-02-01,00:00:00,4655.554
2015-03-01,00:00:00,4022.863
2015-04-01,00:00:00,4024.155
2015-05-01,00:00:00,3490.965
2015-06-01,00:00:00,3400.784
2015-07-01,00:00:00,3174.758
2015-08-01,00:00:00,3407.625
2015-09-01,00:00:00,3318.441
2015-10-01,00:00:00,3286.849
2015-11-01,00:00:00,3637.901
2015-12-01,00:00:00,3692.965
2016-01-01,00:00:00,4460.838
2016-02-01,00:00:00,4583.622
2016-03-01,00:00:00,4136.934
2016-04-01,00:00:00,4256.339
2016-05-01,00:00:00,3539.695
2016-06-01,00:00:00,3277.75004
2016-07-01,00:00:00,3265.3751119999997
2016-08-01,00:00:00,3303.181494
2016-09-01,00:00:00,3195.762496
2016-10-01,00:00:00,3004.619902
2016-11-01,00:00:00,3457.092094
2016-12-01,00:00:00,3365.671832
2017-01-01,00:00:00,4125.168288
2017-02-01,00:00:00,4289.004256
2017-03-01,00:00:00,4319.114434
2017-04-01,00:00:00,3332.414078
2017-05-01,00:00:00,2731.8340279999998
2017-06-01,00:00:00,3022.931542
2017-07-01,00:00:00,2954.0685980000003
2017-08-01,00:00:00,3127.894894
2017-09-01,00:00:00,2987.079854
2017-10-01,00:00:00,2936.9585660000002
2017-11-01,00:00:00,3173.8365360000003
2017-12-01,00:00:00,3225.0357679999997
2018-01-01,00:00:00,3758.00175
2018-02-01,00:00:00,3919.592804
2018-03-01,00:00:00,3706.305820000001
2018-04-01,00:00:00,3503.2103239999997
2018-05-01,00:00:00,3335.1884259999997
2018-06-01,00:00:00,3108.7440920000004
2018-07-01,00:00:00,2876.556802
2018-08-01,00:00:00,2898.0033300000005
2018-09-01,00:00:00,3094.88374
2018-10-01,00:00:00,3121.251474
2018-11-01,00:00:00,3221.447572000001
2018-12-01,00:00:00,3461.435392000001
2019-01-01,00:00:00,4378.610782
2019-02-01,00:00:00,4388.030062000001
2019-03-01,00:00:00,3807.000462
2019-04-01,00:00:00,3574.9792300000004
2019-05-01,00:00:00,3395.4383559999997
2019-06-01,00:00:00,3270.7746819999998
2019-07-01,00:00:00,3194.268432
2019-08-01,00:00:00,3173.078834
2019-09-01,00:00:00,3216.327138
2019-10-01,00:00:00,3419.0005520000004
2019-11-01,00:00:00,3636.65426
2019-12-01,00:00:00,3646.5504499999997
2020-01-01,00:00:00,4280.893005999999
2020-02-01,00:00:00,4306.774592
2020-03-01,00:00:00,3847.967462
2020-04-01,00:00:00,3340.32038
2020-05-01,00:00:00,3086.799092
2020-06-01,00:00:00,2987.29261
2020-07-01,00:00:00,3116.0588940000002
2020-08-01,00:00:00,3014.0095539999998
2020-09-01,00:00:00,3206.48924
2020-10-01,00:00:00,3128.253058
2020-11-01,00:00:00,3187.39461
2020-12-01,00:00:00,3652.0133459999997
2021-01-01,00:00:00,3859.705234
2021-02-01,00:00:00,3831.9365239999997
2021-03-01,00:00:00,4168.59743
2021-04-01,00:00:00,3740.8005820000003
2021-05-01,00:00:00,3237.456076
2021-06-01,00:00:00,3191.200198
2021-07-01,00:00:00,3313.321278
2021-08-01,00:00:00,3322.63402
2021-09-01,00:00:00,3256.56564
2021-10-01,00:00:00,3337.145561
2021-11-01,00:00:00,3444.6824819999997
2021-12-01,00:00:00,3685.725016
2022-01-01,00:00:00,4445.8363500000005
2022-02-01,00:00:00,4478.64672
2022-03-01,00:00:00,4518.288511
2022-04-01,00:00:00,3950.099116
2022-05-01,00:00:00,3580.9506840000004
2022-06-01,00:00:00,3566.1678819999997
2022-07-01,00:00:00,3591.7214559999998
2022-08-01,00:00:00,3592.9403700000003
2022-09-01,00:00:00,3577.4667019999997
